City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,balabac,7.9868,117.0645,29.16,68,43,4.02,PH,1689729987
238,ponta delgada,37.7333,-25.6667,19.4,82,20,2.06,PT,1689729987
239,pimenta bueno,-11.6725,-61.1936,23.87,42,10,1.73,BR,1689729987
240,port alfred,-33.5906,26.891,13.99,79,100,6.26,ZA,1689729987
241,san julian,21.0167,-102.1667,23.61,33,13,1.4,MX,1689729988
242,inarajan village,13.2736,144.7484,31.08,82,100,5.08,GU,1689729988
243,vadso,70.0744,29.7487,14.09,94,100,1.03,NO,1689729988
244,port lincoln,-34.7333,135.8667,13.83,63,94,8.4,AU,1689729988
245,petropavlovsk-kamchatsky,53.0452,158.6483,17.63,75,15,2.16,RU,1689729988
246,kuanda,56.3161,116.0806,11.77,94,100,2.48,RU,1689729988
247,chui,-33.6971,-53.4616,6.97,78,100,2.34,UY,1689729988
248,al kharijah,25.4514,30.5464,30.83,20,0,3.35,EG,1689729988
249,villa madero,19.4,-101.2667,16.1,88,100,2.12,MX,1689729565
250,boulder city,35.9786,-114.8325,43.36,10,0,7.2,US,1689729989
251,mooloolaba,-26.6833,153.1167,22.95,65,17,4.25,AU,1689729837
252,colares,38.7992,-9.4469,19.43,79,3,7.44,PT,1689729989
253,puerto el triunfo,13.2833,-88.55,29.01,66,100,3.21,SV,1689729989
254,hamilton,39.1834,-84.5333,25.24,85,75,1.54,US,1689729959
255,puerto santa,-8.9906,-78.6456,21.05,79,77,5.36,PE,1689729989
256,morondava,-20.2833,44.2833,21.37,63,0,2.49,MG,1689729990
257,namibe,-15.1961,12.1522,19.58,54,0,2.15,AO,1689729990
258,leamington,42.0549,-82.6062,23.28,55,2,1.79,CA,1689729970
259,maumere,-8.6199,122.2111,26.27,73,45,3.86,ID,1689729990
260,tateyama,34.9833,139.8667,27.11,84,100,7.12,JP,1689729990
261,uturoa,-16.7333,-151.4333,26.8,75,10,8.6,PF,1689729991
